Países,Esperanzavida1990,Esperanzavida2016,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Long definition,,,,,,,,,
,,,,,,,,,
"Adult mortality rate, female, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old female dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",,,,,,,,,
,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.18 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,
